STARTTESTT,COMPONENTID,外延机台,PROBER_RECORD_SID,WAFERQTY,ELE_YIELD,OPERATORID,STARTTESTTIME,ENDTESTTIME,MACHINENO,UPDATETIME,VF1_MIN,VF1_AVG,VF1_MAX,VF1_STD,VF1_YIELD,VF2_MIN,VF2_AVG,VF2_MAX,VF2_STD,VF2_YIELD,VF3_MIN,VF3_AVG,VF3_MAX,VF3_STD,VF3_YIELD,VF4_MIN,VF4_AVG,VF4_MAX,VF4_STD,VF4_YIELD,VF5_MIN,VF5_AVG,VF5_MAX,VF5_STD,VF5_YIELD,VFM2_MIN,VFM2_AVG,VFM2_MAX,VFM2_STD,VFM2_YIELD,DVF_MIN,DVF_AVG,DVF_MAX,DVF_STD,DVF_YIELD,VF_MIN,VF_AVG,VF_MAX,VF_STD,VF_YIELD,VFD_MIN,VFD_AVG,VFD_MAX,VFD_STD,VFD_YIELD,VZ1_MIN,VZ1_AVG,VZ1_MAX,VZ1_STD,VZ1_YIELD,IR1_MIN,IR1_AVG,IR1_MAX,IR1_STD,IR1_YIELD,IR2_MIN,IR2_AVG,IR2_MAX,IR2_STD,IR2_YIELD,LOP1_MIN,LOP1_AVG,LOP1_MAX,LOP1_STD,LOP1_YIELD,LOP2_MIN,LOP2_AVG,LOP2_MAX,LOP2_STD,LOP2_YIELD,LOP3_MIN,LOP3_AVG,LOP3_MAX,LOP3_STD,LOP3_YIELD,LOP4_MIN,LOP4_AVG,LOP4_MAX,LOP4_STD,LOP4_YIELD,LOP5_MIN,LOP5_AVG,LOP5_MAX,LOP5_STD,LOP5_YIELD,WLP1_MIN,WLP1_AVG,WLP1_MAX,WLP1_STD,WLP1_YIELD,WLD1_MIN,WLD1_AVG,WLD1_MAX,WLD1_STD,WLD1_YIELD,WLC1_MIN,WLC1_AVG,WLC1_MAX,WLC1_STD,WLC1_YIELD,HW1_MIN,HW1_AVG,HW1_MAX,HW1_STD,HW1_YIELD,PURITY1_MIN,PURITY1_AVG,PURITY1_MAX,PURITY1_STD,PURITY1_YIELD,WLP2_MIN,WLP2_AVG,WLP2_MAX,WLP2_STD,WLP2_YIELD,WLD2_MIN,WLD2_AVG,WLD2_MAX,WLD2_STD,WLD2_YIELD,ESD_HBM_YIELD,ESD_MM_YIELD
2018/5/15 0:00,X1A0118504BY-14-02,A01,A2018051608400916430000,584519,96.5298,QZ6360,2018/5/15 23:45,2018/5/16 8:02,ABPRBY23,2018/5/16 8:40,2.831,3.0393,4.926,0.04092,99.33877,,,,,,,,,,,1.666,2.33303,2.698,0.01689,99.37367,,,,,,,,,,,,,,,,,,,,,0,0.00632,0.049,0.00091,99.40447,7.866,52.19663,77.312,4.01854,99.60908,0,0.00077,4.995,0.03617,99.78786,,,,,99.5492,1.0205,4.02545,6.123,0.17871,99.33432,,,,,,,,,,,,,,,,,,,,,424.95,462.86243,486.56,2.12489,,433.3,468.41879,490.26,2.10906,97.24337,,,,,,16.94,21.98444,34.06,0.72014,99.32269,,,,,,,,,,,,,,,,100,
2018/6/1 0:00,X1A0118524DP-03,A01,A2018060202021396930000,348912,93.97642,QZ6555,2018/6/1 21:54,2018/6/2 1:49,ABPRBL26,2018/6/2 2:02,2.757,3.01607,4.18,0.046,99.0843,,,,,,,,,,,1.584,2.34688,2.705,0.01912,99.08516,,,,,,,,,,,,,,,,,,,,,0,0.00623,0.049,0.001,98.93555,13.027,56.86109,79.999,2.72845,99.60821,0,0.00035,4.532,0.01301,99.85183,,,,,99.57697,1.4287,4.28653,7.02104,0.22556,99.66525,,,,,,,,,,,,,,,,,,,,,422.45,461.86914,466.88,2.49722,,429.9,466.24941,471.01,2.4825,95.76741,,,,,,13.7,21.12544,23.08,1.04379,100,,,,,,,,,,,,,,,,100,
2018/6/22 0:00,X1A0118602CP-01,A01,A2018062213490847760000,582727,96.27733,QZ6770,2018/6/22 1:27,2018/6/22 13:25,ABPRBG23,2018/6/22 13:49,2.767,3.03128,4.941,0.0559,98.97516,,,,,,,,,,,1.502,2.34007,2.675,0.02034,98.93055,,,,,,,,,,,,,,,,,,,,,0,0.00113,0.049,0.0005,99.97443,11.97,50.83913,78.779,2.41269,99.29212,0,0.00104,4.981,0.04602,99.86031,,,,,99.24081,1.00723,3.8424,5.80562,0.20257,99.59363,,,,,,,,,,,,,,,,,,,,,422.11,463.77461,487.63,2.67881,,431.34,468.61989,489.91,2.55073,97.0221,,,,,,15.48,21.64975,35.93,0.8217,99.64803,,,,,,,,,,,,,,,,100,
2018/6/27 0:00,X1A0118615BP-07-02,A01,A2018062717551901720000,581640,98.06667,QZ6763,2018/6/27 5:03,2018/6/27 12:09,ABPRBX24,2018/6/27 17:55,2.684,3.05251,4.904,0.03643,99.61076,,,,,,,,,,,1.51,2.27707,2.697,0.01508,99.64291,,,,,,,,,,,,,,,,,,,,,0,0.00603,0.049,0.00071,99.85644,14.752,49.81996,70.146,3.64882,99.78578,0,0.00036,4.958,0.02638,99.87759,,,,,99.74795,1.07153,3.85232,6.23117,0.20619,99.76893,,,,,,,,,,,,,,,,,,,,,427.29,462.74527,481.86,2.10053,,434.51,467.48553,485.11,1.94356,98.55031,,,,,,15.75,21.59089,32.07,0.65349,99.96424,,,,,,,,,,,,,,,,100,
2018/6/27 0:00,X1A0118615BP-07-03,A01,A2018062717551901720000,581640,98.06667,QZ6763,2018/6/27 5:03,2018/6/27 12:09,ABPRBX24,2018/6/27 17:55,2.684,3.05251,4.904,0.03643,99.61076,,,,,,,,,,,1.51,2.27707,2.697,0.01508,99.64291,,,,,,,,,,,,,,,,,,,,,0,0.00603,0.049,0.00071,99.85644,14.752,49.81996,70.146,3.64882,99.78578,0,0.00036,4.958,0.02638,99.87759,,,,,99.74795,1.07153,3.85232,6.23117,0.20619,99.76893,,,,,,,,,,,,,,,,,,,,,427.29,462.74527,481.86,2.10053,,434.51,467.48553,485.11,1.94356,98.55031,,,,,,15.75,21.59089,32.07,0.65349,99.96424,,,,,,,,,,,,,,,,100,
2018/7/7 0:00,X1A0118616BP-11-01,A01,A2018070713032376690000,569670,96.7432,QZ6656,2018/7/7 3:17,2018/7/7 12:35,ABPRBS25,2018/7/7 13:03,2.722,3.07972,4.837,0.051,99.12072,,,,,,,,,,,1.501,2.3487,2.692,0.01786,99.10246,,,,,,,,,,,,,,,,,,,,,0,0.00113,0.048,0.00052,,12.148,47.99777,76.735,4.10462,99.38526,0,0.00103,4.692,0.03494,99.75933,,,,,99.334,1.8369,4.00845,5.22496,0.3056,99.81024,,,,,,,,,,,,,,,,,,,,,429.89,461.68731,484.69,2.24933,,436.71,466.59454,487.17,2.11044,97.63635,,,,,,16.49,20.91705,29.73,0.59942,100,,,,,,,,,,,,,,,,100,
2018/7/28 0:00,X1A0118715CY-14-01-02,A01,A2018072903510881930000,577200,94.22678,QZ6352,2018/7/28 20:53,2018/7/29 3:25,ABPRBQ28,2018/7/29 3:51,2.815,3.2779,4.999,0.0462,96.66545,,,,,,,,,,,1.512,2.00104,2.705,0.03213,96.07571,,,,,,,,,,,,,,,,,,,,,0,0.01818,10,0.14726,,14.1,49.88777,73.726,6.58899,97.47852,0,0.01244,5.009,0.16854,97.90662,,,,,96.56566,1.859,3.82517,7.419,0.44001,100,,,,,,,,,,,,,,,,,,,,,488.49,514.9222,525.31,2.58372,99.68399,495.09,521.41968,534.88,3.14412,99.12128,,,,,,25.46,30.38527,33.37,0.95855,100,,,,,,,,,,,,,,,,100,
2018/12/4 0:00,X1A0118B19EP-04-01,A01,A2018120505504092380000,570056,97.52077,QZ6556,2018/12/4 21:08,2018/12/5 5:47,ABPRBYQ24,2018/12/5 5:50,2.847,3.16212,4.849,0.05874,99.15114,,,,,,,,,,,1.665,2.00442,2.292,0.02492,99.12658,,,,,,,,,,,,,,,,,,,,,0,0,0,0,100,13.933,53.66696,90,5.07853,98.62505,0,0.0003,1.013,0.00584,99.78686,,,,,99.09114,1.001,4.11211,10.234,0.39495,98.91625,,,,,,,,,,,,,,,,,,,,,466.19,514.63279,528.37,2.05537,98.85239,475.18,521.36798,538.1,2.53421,98.47138,,,,,,24.16,29.89464,46.08,0.90207,99.1257,,,,,,,,,,,,,,,,100,
2018/5/21 0:00,X1A0218314BL-09,A02,A2018052111500576660000,145211,78.34393,QZ5818,2018/5/21 10:10,2018/5/21 11:45,ABPRB P30,2018/5/21 11:50,3.061,3.12889,4.174,0.03197,97.61037,,,,,,,,,,,1.519,1.93975,2.099,0.0248,95.78269,,,,,,,,,,,,,,,,,,,,,0,0.01663,1.557,0.0617,97.21371,7,60.61429,90,8.62802,98.2825,0,0.02906,4,0.20438,93.73188,,,,,95.3936,1.707,3.09536,5.305,0.22999,97.94988,,,,,,,,,,,,,,,,,,,,,412.7,520.66752,526.5,9.291,,415.7,526.64245,533.3,9.52819,86.53683,,,,,,23.3,31.1012,36.9,0.77474,97.96365,,,,,,,,,,,,,,,,100,
2018/4/16 0:00,X1A0218406AY-08-02,A02,A2018041815293758410000,584389,93.97422,QZ5896,2018/4/16 14:32,2018/4/16 14:31,ABPRBY24,2018/4/18 15:29,2.806,3.25025,5.001,0.04916,98.92246,,,,,,,,,,,1.611,1.96384,2.638,0.02965,99.30646,,,,,,,,,,,,,,,,,,,,,0,0.01483,7.249,0.12689,99.65862,17.286,61.19685,88.152,5.72511,99.76831,0,0.01856,4.957,0.04894,99.30457,,,,,99.35146,1,4.17445,7.71,0.3173,95.74222,,,,,,,,,,,,,,,,,,,,,481.28,517.96184,539.06,2.05278,,484.33,521.69994,544.82,2.35664,97.01808,,,,,,24.9,28.94307,40.92,0.74958,99.34239,,,,,,,,,,,,,,,,100,
