lsdsat,ldoff,technology,type_row
1.8,46,PMOS,Control
1.8,65,NMOS,Optimized
1.8,74,NMOS,Optimized
1.4,-7,PMOS,Optimized
2.2,-100,NMOS,Control
2.2,83,PMOS,Optimized
1.4,-85,PMOS,Control
0.6,-58,PMOS,Optimized
0.6,94,PMOS,Optimized
1.4,60,NMOS,Optimized
2.2,-40,PMOS,Control
2.2,32,NMOS,Optimized
1.4,68,PMOS,Optimized
10.0,39,NMOS,Control
10.0,65,NMOS,Control
10.0,29,PMOS,Control
0.6,34,NMOS,Control
10.0,-38,PMOS,Control
1.4,-77,PMOS,Optimized
0.6,4,PMOS,Control
2.2,100,PMOS,Optimized
10.0,-59,NMOS,Optimized
0.6,-49,NMOS,Optimized
10.0,74,PMOS,Optimized
10.0,22,PMOS,Optimized
1.8,22,NMOS,Optimized
1.8,21,NMOS,Optimized
2.2,-68,NMOS,Control
1.4,-21,PMOS,Optimized
2.2,-10,NMOS,Optimized
0.6,46,NMOS,Control
0.6,34,NMOS,Optimized
2.2,52,PMOS,Optimized
1.8,12,NMOS,Control
1.8,70,PMOS,Optimized
0.6,-89,PMOS,Optimized
0.6,9,NMOS,Optimized
2.2,-62,NMOS,Optimized
10.0,-56,NMOS,Control
2.2,83,NMOS,Control
0.6,-97,NMOS,Control
2.2,44,NMOS,Optimized
0.6,-87,NMOS,Control
0.6,-95,NMOS,Control
10.0,-88,NMOS,Control
1.8,-8,NMOS,Control
1.8,-9,PMOS,Control
10.0,25,NMOS,Optimized
2.2,88,NMOS,Control
10.0,-24,NMOS,Optimized
2.2,-69,PMOS,Optimized
10.0,-34,PMOS,Optimized
1.4,-82,PMOS,Optimized
1.4,85,PMOS,Control
0.6,-4,PMOS,Control
2.2,-58,NMOS,Optimized
0.6,23,PMOS,Optimized
1.4,36,NMOS,Control
1.8,35,PMOS,Control
10.0,77,PMOS,Control
1.4,12,PMOS,Optimized
0.6,-29,NMOS,Optimized
2.2,-96,NMOS,Optimized
1.8,75,PMOS,Control
2.2,-63,PMOS,Optimized
1.4,55,NMOS,Control
1.4,-85,PMOS,Optimized
1.4,-58,PMOS,Optimized
1.4,-75,PMOS,Optimized
10.0,-24,NMOS,Optimized
10.0,-7,NMOS,Optimized
1.8,-82,NMOS,Optimized
0.6,-68,NMOS,Optimized
1.4,78,PMOS,Optimized
2.2,-49,NMOS,Control
10.0,68,NMOS,Optimized
10.0,-45,PMOS,Optimized
2.2,59,NMOS,Control
1.4,68,PMOS,Control
2.2,-97,PMOS,Optimized
0.6,39,PMOS,Optimized
0.6,-31,PMOS,Optimized
1.4,54,NMOS,Control
10.0,41,NMOS,Optimized
0.6,97,PMOS,Control
1.4,10,PMOS,Optimized
10.0,-43,NMOS,Optimized
10.0,5,NMOS,Control
10.0,-11,PMOS,Control
1.4,97,NMOS,Control
1.8,-47,PMOS,Control
2.2,59,NMOS,Control
0.6,97,PMOS,Control
1.8,-36,PMOS,Optimized
1.8,-43,NMOS,Optimized
1.8,-13,NMOS,Optimized
0.6,77,PMOS,Control
1.4,-57,PMOS,Optimized
1.4,62,NMOS,Optimized
0.6,73,NMOS,Optimized
0.6,18,NMOS,Control
1.8,97,PMOS,Optimized
1.8,-17,PMOS,Optimized
1.8,67,NMOS,Control
0.6,47,NMOS,Control
2.2,-47,PMOS,Control
2.2,100,NMOS,Optimized
1.8,-42,NMOS,Control
10.0,-84,PMOS,Control
0.6,86,PMOS,Optimized
1.8,-77,NMOS,Optimized
2.2,9,PMOS,Optimized
2.2,74,PMOS,Optimized
10.0,73,PMOS,Optimized
1.4,90,NMOS,Control
0.6,99,PMOS,Control
10.0,-66,NMOS,Control
0.6,-92,NMOS,Optimized
0.6,-24,NMOS,Control
1.4,48,PMOS,Control
10.0,96,PMOS,Optimized
1.4,22,PMOS,Optimized
10.0,-79,PMOS,Control
2.2,-29,NMOS,Control
0.6,75,PMOS,Optimized
1.4,21,NMOS,Control
0.6,67,NMOS,Control
1.8,85,NMOS,Control
1.4,3,PMOS,Control
1.8,-84,PMOS,Optimized
0.6,88,PMOS,Control
2.2,89,PMOS,Optimized
1.4,-23,PMOS,Control
1.4,-94,NMOS,Control
0.6,40,PMOS,Control
1.4,43,NMOS,Control
2.2,-6,PMOS,Optimized
2.2,80,NMOS,Control
0.6,83,NMOS,Optimized
1.4,50,PMOS,Optimized
1.4,-37,PMOS,Optimized
0.6,-43,PMOS,Control
10.0,-27,PMOS,Optimized
2.2,-7,PMOS,Control
10.0,-33,NMOS,Control
1.4,-1,PMOS,Optimized
1.4,62,PMOS,Optimized
10.0,15,PMOS,Optimized
10.0,-34,NMOS,Optimized
2.2,-66,PMOS,Control
0.6,-36,NMOS,Optimized
0.6,-67,NMOS,Control
10.0,-38,NMOS,Control
10.0,42,NMOS,Optimized
2.2,3,NMOS,Optimized
10.0,15,PMOS,Optimized
0.6,15,PMOS,Optimized
2.2,25,PMOS,Control
1.4,73,PMOS,Control
2.2,67,NMOS,Control
10.0,74,NMOS,Optimized
0.6,-96,NMOS,Control
2.2,-66,NMOS,Control
2.2,68,PMOS,Control
10.0,-82,NMOS,Optimized
1.4,-87,PMOS,Optimized
1.8,-92,PMOS,Control
1.8,68,NMOS,Control
1.4,6,NMOS,Optimized
1.8,32,PMOS,Control
0.6,62,NMOS,Optimized
2.2,-100,PMOS,Optimized
10.0,6,NMOS,Control
0.6,-60,PMOS,Control
2.2,41,NMOS,Control
1.8,-55,NMOS,Optimized
10.0,59,NMOS,Optimized
0.6,-1,NMOS,Optimized
0.6,-60,NMOS,Optimized
1.8,-81,NMOS,Control
10.0,-100,PMOS,Control
1.8,100,PMOS,Optimized
2.2,-91,NMOS,Optimized
1.4,-86,PMOS,Optimized
1.4,-3,NMOS,Control
10.0,-32,NMOS,Control
2.2,62,NMOS,Control
10.0,6,PMOS,Control
0.6,-73,NMOS,Optimized
0.6,68,PMOS,Optimized
2.2,-24,PMOS,Control
1.8,-76,PMOS,Optimized
0.6,-96,NMOS,Control
1.8,-88,PMOS,Control
1.8,9,NMOS,Optimized
2.2,-92,NMOS,Optimized
10.0,45,NMOS,Optimized
10.0,-11,NMOS,Control
10.0,-3,NMOS,Optimized
0.6,-8,PMOS,Control
1.8,75,NMOS,Control
0.6,41,NMOS,Optimized
2.2,-71,NMOS,Control
0.6,65,NMOS,Control
1.4,87,NMOS,Optimized
1.4,95,NMOS,Control
1.8,85,PMOS,Control
1.8,31,PMOS,Optimized
2.2,-74,PMOS,Optimized
0.6,-89,NMOS,Optimized
2.2,-80,NMOS,Optimized
2.2,5,PMOS,Control
10.0,-77,NMOS,Control
1.8,-15,PMOS,Control
1.8,-61,NMOS,Optimized
2.2,47,PMOS,Control
1.8,63,NMOS,Control
1.8,28,NMOS,Optimized
